date_received,status,borough,major_category,minor_category,problem_status,problem_code,post_code,type,time_to_close
2023-01-01 00:01:50,CLOSE,BROOKLYN,HEAT/HOT WATER,APARTMENT ONLY,CLOSE,NO HEAT,11226,EMERGENCY,3
2023-01-01 00:13:06,CLOSE,QUEENS,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE,NO HEAT,11432,EMERGENCY,4
2023-01-01 00:14:47,CLOSE,BRONX,UNSANITARY CONDITION,PESTS,CLOSE,OTHER,10457,NON EMERGENCY,1
2023-01-01 00:14:47,CLOSE,BRONX,FLOORING/STAIRS,FLOOR,CLOSE,HOLE IN WALKING AREA,10457,EMERGENCY,1
2023-01-01 00:14:47,CLOSE,BRONX,UNSANITARY CONDITION,PESTS,CLOSE,ROACHES,10457,NON EMERGENCY,1
2023-01-01 00:14:47,CLOSE,BRONX,APPLIANCE,ELECTRIC/GAS RANGE,CLOSE,NO GAS OR ELECTRICITY,10457,NON EMERGENCY,1
2023-01-01 00:14:47,CLOSE,BRONX,APPLIANCE,REFRIGERATOR,CLOSE,BROKEN DOOR SEAL,10457,NON EMERGENCY,1
2023-01-01 00:14:47,CLOSE,BRONX,SAFETY,CARBON MONOXIDE DETECTOR,CLOSE,BROKEN OR MISSING,10457,EMERGENCY,1
2023-01-01 00:14:47,CLOSE,BRONX,UNSANITARY CONDITION,PESTS,CLOSE,MICE,10457,NON EMERGENCY,1
2023-01-01 00:14:47,CLOSE,BRONX,PAINT/PLASTER,CEILING,CLOSE,COLLAPSING OR FALLING,10457,IMMEDIATE EMERGENCY,1
2023-01-01 00:14:47,CLOSE,BRONX,PAINT/PLASTER,WALL,CLOSE,DIRTY OR UNSANITARY,10457,NON EMERGENCY,1
2023-01-01 00:15:52,CLOSE,BROOKLYN,PAINT/PLASTER,WALL,CLOSE,CHIPPED/PEELING/FLAKING,11210,NON EMERGENCY,17
2023-01-01 00:15:52,CLOSE,BROOKLYN,FLOORING/STAIRS,FLOOR,CLOSE,SAGGING OR SLOPING,11210,EMERGENCY,17
2023-01-01 00:15:52,CLOSE,BROOKLYN,APPLIANCE,ELECTRIC/GAS RANGE,CLOSE,OVEN DOOR MISSING OR BROKEN,11210,EMERGENCY,17
2023-01-01 00:15:52,CLOSE,BROOKLYN,APPLIANCE,REFRIGERATOR,CLOSE,BROKEN DOOR SEAL,11210,NON EMERGENCY,17
2023-01-01 00:15:52,CLOSE,BROOKLYN,PLUMBING,TOILET,CLOSE,BOWL STOPPED UP,11210,EMERGENCY,17
2023-01-01 00:22:46,CLOSE,QUEENS,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE,NO HEAT,11375,EMERGENCY,4
2023-01-01 00:44:50,CLOSE,BROOKLYN,DOOR/WINDOW,WINDOW FRAME,CLOSE,LOOSE OR DEFECTIVE,11230,EMERGENCY,93
2023-01-01 00:47:13,CLOSE,BROOKLYN,PLUMBING,BASIN/SINK,CLOSE,DRAIN PIPE BLOCKED OR BROKEN,11230,EMERGENCY,93
2023-01-01 00:47:13,CLOSE,BROOKLYN,UNSANITARY CONDITION,PESTS,CLOSE,ROACHES,11230,NON EMERGENCY,93
2023-01-01 00:48:19,CLOSE,BROOKLYN,HEAT/HOT WATER,APARTMENT ONLY,CLOSE,NO HEAT,11220,EMERGENCY,3
2023-01-01 00:50:03,CLOSE,BROOKLYN,HEAT/HOT WATER,APARTMENT ONLY,CLOSE,NO HEAT,11225,EMERGENCY,1
2023-01-01 00:52:38,CLOSE,MANHATTAN,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE,NO HEAT,10037,EMERGENCY,3
2023-01-01 00:56:13,CLOSE,MANHATTAN,UNSANITARY CONDITION,PESTS,CLOSE,BED BUGS,10011,EMERGENCY,47
2023-01-01 01:02:20,CLOSE,MANHATTAN,DOOR/WINDOW,DOOR,CLOSE,NEEDS KEY FOR EXIT,10030,EMERGENCY,153
2023-01-01 01:21:40,CLOSE,MANHATTAN,HEAT/HOT WATER,APARTMENT ONLY,CLOSE,NO HOT WATER,10039,EMERGENCY,2
2023-01-01 01:25:31,CLOSE,BRONX,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE,NO HEAT AND NO HOT WATER,10454,EMERGENCY,4
2023-01-01 01:46:08,CLOSE,BROOKLYN,HEAT/HOT WATER,APARTMENT ONLY,CLOSE,NO HEAT,11207,EMERGENCY,5
2023-01-01 01:53:31,CLOSE,QUEENS,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE,NO HEAT,11355,EMERGENCY,4
2023-01-01 01:59:31,CLOSE,BRONX,HEAT/HOT WATER,APARTMENT ONLY,CLOSE,NO HEAT,10458,EMERGENCY,3
2023-01-01 02:05:57,CLOSE,BRONX,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE,NO HEAT,10468,EMERGENCY,3
2023-01-01 02:10:51,CLOSE,BRONX,ELECTRIC,NO LIGHTING,CLOSE,ONE ROOM OR AREA,10452,EMERGENCY,9
2023-01-01 02:10:51,CLOSE,BRONX,UNSANITARY CONDITION,PESTS,CLOSE,ROACHES,10452,NON EMERGENCY,9
2023-01-01 02:10:51,CLOSE,BRONX,UNSANITARY CONDITION,PESTS,CLOSE,MICE,10452,NON EMERGENCY,9
2023-01-01 02:12:55,CLOSE,BRONX,PLUMBING,WATER SUPPLY,CLOSE,SCALDING HOT WATER,10452,IMMEDIATE EMERGENCY,5
2023-01-01 02:19:06,CLOSE,BROOKLYN,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE,NO HOT WATER,11207,EMERGENCY,4
2023-01-01 02:21:31,CLOSE,MANHATTAN,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE,NO HEAT AND NO HOT WATER,10026,EMERGENCY,2
2023-01-01 02:21:33,CLOSE,BRONX,HEAT/HOT WATER,APARTMENT ONLY,CLOSE,NO HOT WATER,10454,EMERGENCY,4
2023-01-01 02:25:18,CLOSE,BROOKLYN,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE,NO HEAT AND NO HOT WATER,11219,EMERGENCY,3
2023-01-01 02:36:16,CLOSE,QUEENS,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE,NO HEAT,11105,EMERGENCY,4
2023-01-01 02:59:32,CLOSE,BROOKLYN,DOOR/WINDOW,DOOR,CLOSE,LOCK BROKEN OR MISSING,11208,EMERGENCY,145
2023-01-01 03:05:02,CLOSE,QUEENS,HEAT/HOT WATER,APARTMENT ONLY,CLOSE,NO HEAT,11375,EMERGENCY,4
2023-01-01 03:05:02,CLOSE,QUEENS,DOOR/WINDOW,DOOR FRAME,CLOSE,FRAME BROKEN,11375,NON EMERGENCY,4
2023-01-01 03:05:02,CLOSE,QUEENS,SAFETY,WINDOW GUARD BROKEN/MISSING,CLOSE,NO CHILD UNDER 11,11375,EMERGENCY,4
2023-01-01 03:06:05,CLOSE,QUEENS,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE,NO HEAT,11355,EMERGENCY,4
2023-01-01 03:07:23,CLOSE,BROOKLYN,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE,NO HEAT,11225,EMERGENCY,3
2023-01-01 03:08:19,CLOSE,BROOKLYN,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE,NO HEAT,11225,EMERGENCY,4
2023-01-01 03:31:45,CLOSE,BROOKLYN,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE,NO HEAT AND NO HOT WATER,11203,EMERGENCY,1
2023-01-01 03:40:23,CLOSE,MANHATTAN,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE,NO HEAT,10033,EMERGENCY,2
2023-01-01 03:44:40,CLOSE,BROOKLYN,UNSANITARY CONDITION,PESTS,CLOSE,MICE,11208,NON EMERGENCY,3
2023-01-01 03:44:40,CLOSE,BROOKLYN,PLUMBING,BASIN/SINK,CLOSE,DRAIN PIPE BLOCKED OR BROKEN,11208,EMERGENCY,3
2023-01-01 03:44:40,CLOSE,BROOKLYN,PAINT/PLASTER,CEILING,CLOSE,HOLE OR CRACKED,11208,EMERGENCY,3
2023-01-01 03:44:40,CLOSE,BROOKLYN,APPLIANCE,REFRIGERATOR,CLOSE,BROKEN DOOR SEAL,11208,NON EMERGENCY,3
2023-01-01 03:44:40,CLOSE,BROOKLYN,WATER LEAK,SLOW LEAK,CLOSE,AT WALL OR CEILING,11208,NON EMERGENCY,3
2023-01-01 03:44:40,CLOSE,BROOKLYN,PAINT/PLASTER,CEILING,CLOSE,COLLAPSING OR FALLING,11208,IMMEDIATE EMERGENCY,3
2023-01-01 03:50:03,CLOSE,MANHATTAN,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE,NO HEAT,10026,EMERGENCY,2
2023-01-01 04:11:16,CLOSE,MANHATTAN,HEAT/HOT WATER,APARTMENT ONLY,CLOSE,NO HEAT AND NO HOT WATER,10032,EMERGENCY,3
2023-01-01 04:13:03,CLOSE,BRONX,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE,NO HEAT,10467,EMERGENCY,3
2023-01-01 04:39:08,CLOSE,BROOKLYN,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE,NO HEAT,11222,EMERGENCY,7
2023-01-01 04:42:17,CLOSE,BRONX,PLUMBING,WATER SUPPLY,CLOSE,NO WATER,10457,IMMEDIATE EMERGENCY,4
2023-01-01 04:52:44,CLOSE,QUEENS,HEAT/HOT WATER,APARTMENT ONLY,CLOSE,NO HEAT,11354,EMERGENCY,6
2023-01-01 04:55:27,CLOSE,MANHATTAN,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE,NO HEAT,10014,EMERGENCY,1
2023-01-01 04:56:56,CLOSE,MANHATTAN,GENERAL,SIGNAGE MISSING,CLOSE,ESSENTIAL SERVICE POSTING,10010,NON EMERGENCY,2
2023-01-01 05:10:58,CLOSE,BRONX,HEAT/HOT WATER,APARTMENT ONLY,CLOSE,NO HEAT,10458,EMERGENCY,5
2023-01-01 05:10:58,CLOSE,BRONX,DOOR/WINDOW,WINDOW FRAME,CLOSE,LOOSE OR DEFECTIVE,10458,EMERGENCY,5
2023-01-01 05:10:58,CLOSE,BRONX,PLUMBING,RADIATOR,CLOSE,AIR VALVE BROKEN OR MISSING,10458,EMERGENCY,5
2023-01-01 05:10:58,CLOSE,BRONX,DOOR/WINDOW,DOOR,CLOSE,NOT SELF-CLOSING,10458,EMERGENCY,5
2023-01-01 05:19:08,CLOSE,BRONX,UNSANITARY CONDITION,PESTS,CLOSE,MICE,10457,NON EMERGENCY,62
2023-01-01 05:19:08,CLOSE,BRONX,UNSANITARY CONDITION,PESTS,CLOSE,OTHER,10457,NON EMERGENCY,62
2023-01-01 05:27:07,CLOSE,MANHATTAN,PLUMBING,BATHTUB/SHOWER,CLOSE,NO WATER,10026,NON EMERGENCY,19
2023-01-01 05:27:07,CLOSE,MANHATTAN,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE,NO HOT WATER,10026,EMERGENCY,19
2023-01-01 05:27:07,CLOSE,MANHATTAN,PAINT/PLASTER,WALL,CLOSE,DIRTY OR UNSANITARY,10026,NON EMERGENCY,19
2023-01-01 05:27:07,CLOSE,MANHATTAN,APPLIANCE,ELECTRIC/GAS RANGE,CLOSE,NO GAS OR ELECTRICITY,10026,NON EMERGENCY,19
2023-01-01 05:27:07,CLOSE,MANHATTAN,GENERAL,BELL/BUZZER/INTERCOM,CLOSE,BROKEN OR MISSING,10026,NON EMERGENCY,19
2023-01-01 05:27:07,CLOSE,MANHATTAN,PLUMBING,TOILET,CLOSE,CONTINUOUSLY RUNS,10026,NON EMERGENCY,19
2023-01-01 05:46:39,CLOSE,BRONX,HEAT/HOT WATER,APARTMENT ONLY,CLOSE,NO HEAT,10467,EMERGENCY,1
2023-01-01 05:55:32,CLOSE,BROOKLYN,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE,NO HEAT,11235,EMERGENCY,3
2023-01-01 06:04:59,CLOSE,QUEENS,HEAT/HOT WATER,APARTMENT ONLY,CLOSE,NO HEAT,11103,EMERGENCY,3
2023-01-01 06:05:14,CLOSE,MANHATTAN,GENERAL,SIGNAGE MISSING,CLOSE,ESSENTIAL SERVICE POSTING,10031,NON EMERGENCY,1
2023-01-01 06:06:40,CLOSE,QUEENS,HEAT/HOT WATER,ENTIRE BUILDING,CLOSE,NO HEAT,11104,EMERGENCY,2
